Date,Price,Open,High,Low,Vol.,Change %
2023-02-08,20850,19750,21100,19750,33.81M,5.57%
2023-02-09,20600,21000,21250,20600,16.34M,-1.20%
2023-02-10,20500,20700,20800,20150,15.83M,-0.49%
2023-02-13,20200,20400,20400,19750,18.74M,-1.46%
2023-02-14,20600,20300,20900,20250,17.29M,1.98%
2023-02-15,20800,20600,21050,20250,20.08M,0.97%
2023-02-16,21300,20950,21400,20600,23.91M,2.40%
2023-02-17,21000,21300,21350,21000,12.29M,-1.41%
2023-02-20,21900,21000,21900,21000,24.74M,4.29%
2023-02-21,21600,22050,22300,21600,20.64M,-1.37%
2023-02-22,21200,21400,22100,21200,32.63M,-1.85%
2023-02-23,21500,21150,21500,20400,33.59M,1.42%
2023-02-24,20800,21500,21500,20650,14.60M,-3.26%
2023-02-27,20100,20400,20550,19950,31.32M,-3.37%
2023-02-28,20000,20450,20500,19900,15.22M,-0.50%
2023-03-01,20900,20000,20900,19800,18.62M,4.50%
2023-03-02,20600,21000,21100,20600,8.87M,-1.44%
2023-03-03,20350,20800,21100,20350,13.61M,-1.21%
2023-03-06,20400,20650,20850,20400,11.37M,0.25%
2023-03-07,21100,20600,21350,20550,29.32M,3.43%
2023-03-08,21200,20900,21200,20800,16.16M,0.47%
2023-03-09,21200,21200,21550,21200,23.27M,0.00%
2023-03-10,21300,21150,21450,21000,22.46M,0.47%
2023-03-13,21100,21050,21400,20900,20.93M,-0.94%
2023-03-14,20300,21050,21100,20200,30.87M,-3.79%
2023-03-15,21300,20800,21300,20600,26.78M,4.93%
2023-03-16,20850,21000,21100,20500,30.25M,-2.11%
2023-03-17,20400,21050,21050,20400,33.96M,-2.16%
2023-03-20,20000,20400,20600,20000,22.99M,-1.96%
2023-03-21,20450,20200,20550,19850,19.06M,2.25%
2023-03-22,20300,20550,20600,20150,12.86M,-0.73%
2023-03-23,20400,20200,20400,20050,10.74M,0.49%
2023-03-24,20400,20450,20500,20300,13.69M,0.00%
2023-03-27,20800,20400,20900,20350,20.27M,1.96%
2023-03-28,20700,20900,21000,20700,12.33M,-0.48%
2023-03-29,20800,20700,21100,20700,17.94M,0.48%
2023-03-30,20800,21000,21150,20750,20.96M,0.00%
2023-03-31,20800,20800,20900,20350,23.77M,0.00%
2023-04-03,21000,21050,21100,20850,21.37M,0.96%
2023-04-04,21100,21150,21200,20950,19.86M,0.48%
2023-04-05,21500,21100,21500,20950,25.52M,1.90%
2023-04-06,21500,21550,21900,21400,27.84M,0.00%
2023-04-07,21200,21500,21600,21100,18.56M,-1.40%
2023-04-10,20700,21250,21350,20600,26.55M,-2.36%
2023-04-11,20800,20700,20850,20600,14.42M,0.48%
2023-04-12,20750,20900,20900,20650,10.64M,-0.24%
2023-04-13,20450,20800,20800,20350,14.71M,-1.45%
2023-04-14,20650,20550,20850,20500,13.61M,0.98%
2023-04-17,20850,20600,20900,20600,9.28M,0.97%
2023-04-18,20950,20900,21000,20800,11.57M,0.48%
2023-04-19,20800,21050,21050,20800,10.48M,-0.72%
2023-04-20,20800,20800,20900,20750,6.55M,0.00%
2023-04-21,20700,20800,20850,20700,11.14M,-0.48%
2023-04-24,20650,20700,20800,20550,10.58M,-0.24%
2023-04-25,21050,20800,21250,20700,18.46M,1.94%
2023-04-26,22000,21050,22000,20900,26.82M,4.51%
2023-04-27,21700,22000,22000,21600,17.14M,-1.36%
2023-04-28,21650,21700,21800,21400,15.75M,-0.23%
2023-05-04,21300,21450,21600,21200,16.54M,-1.62%
2023-05-05,21450,21300,21700,21200,10.79M,0.70%
2023-05-08,21600,21550,21750,21450,10.45M,0.70%
2023-05-09,21800,21600,22150,21600,22.41M,0.93%
2023-05-10,21700,21800,21900,21650,8.74M,-0.46%
2023-05-11,21750,21800,21950,21600,13.64M,0.23%
2023-05-12,22350,21750,22500,21600,45.11M,2.76%
2023-05-15,22100,22450,22600,22100,17.69M,-1.12%
2023-05-16,22000,22100,22300,21900,17.81M,-0.45%
2023-05-17,21800,22000,22100,21750,26.00M,-0.91%
2023-05-18,21950,21900,22200,21800,18.61M,0.69%
2023-05-19,21800,22000,22100,21650,11.51M,-0.68%
2023-05-22,21900,21800,22100,21750,14.87M,0.46%
2023-05-23,21700,21950,22050,21600,13.62M,-0.91%
2023-05-24,21300,21900,21900,21300,20.27M,-1.84%
2023-05-25,21200,21300,21450,21200,13.26M,-0.47%
